invoiceno,stockcode,quantity,invoicedate,unitprice,customerid,country
561894,22277,1,7/31/2011 15:00,2.1,14456.0,United Kingdom
559254,23029,12,7/7/2011 11:56,1.65,16814.0,United Kingdom
564539,85099B,10,8/25/2011 15:22,2.08,12715.0,Sweden
545227,23231,25,3/1/2011 9:35,0.42,12428.0,Finland
580503,47566B,1,12/4/2011 13:20,4.95,13956.0,United Kingdom
565397,22937,1,9/2/2011 16:43,2.55,14171.0,United Kingdom
572058,23052,1,10/20/2011 12:43,8.25,18252.0,United Kingdom
681574,21808,3,01/08/2012 10:03,3.29,3098,United Kingdom
571054,23126,1,10/13/2011 13:58,4.95,14234.0,United Kingdom
539492,48184,1,12/20/2010 10:14,14.43,,United Kingdom
539451,22949,1,12/17/2010 16:59,2.98,,United Kingdom
536623,22815,24,12/2/2010 10:39,0.42,15601.0,United Kingdom
564837,23323,1,8/30/2011 12:40,4.13,,United Kingdom
640776,37444C,4,02/02/2011 09:11,2.95,14537,Spain
578354,23569,4,11/24/2011 10:12,4.95,17139.0,United Kingdom
562106,21786,1,8/2/2011 15:19,0.42,14076.0,United Kingdom
570826,23503,2,10/12/2011 13:14,1.25,16753.0,United Kingdom
556102,21090,12,6/8/2011 16:15,0.39,13115.0,United Kingdom
541670,22666,48,1/20/2011 12:34,2.55,14911.0,EIRE
641540,21989,3,02/04/2011 14:29,1.63,1100,United Kingdom
538094,17084N,25,12/9/2010 14:50,0.21,13117.0,United Kingdom
579470,84029G,3,11/29/2011 15:06,4.25,16549.0,United Kingdom
568539,22934,6,9/27/2011 14:07,2.95,13016.0,United Kingdom
552883,21918,288,5/12/2011 10:13,0.36,14646.0,Netherlands
577490,22735,1,11/20/2011 12:11,1.65,16464.0,United Kingdom
537823,22079,2,12/8/2010 14:25,3.36,,United Kingdom
575066,23487,1,11/8/2011 12:42,9.95,13668.0,United Kingdom
568095,90201B,6,9/23/2011 14:49,2.95,14911.0,EIRE
640391,21158,1,02/14/2011 12:45,1.45,21466,United Kingdom
547249,21288,2,3/22/2011 9:27,3.29,,United Kingdom
551008,22411,1,4/26/2011 9:50,4.13,,United Kingdom
674173,22356,2,12/12/2011 15:38,1.63,206,United Kingdom
540468,21413,1,1/7/2011 13:55,2.51,,United Kingdom
550651,85049C,1,4/19/2011 16:52,1.25,15436.0,United Kingdom
579141,22898,2,11/28/2011 13:06,1.95,17019.0,United Kingdom
569372,22595,1,10/3/2011 16:04,1.63,,United Kingdom
580115,23379,1,12/1/2011 16:22,0.83,,United Kingdom
654423,22501,1,05/26/2011 14:15,20.79,4876,United Kingdom
567167,22727,1,9/18/2011 12:21,3.75,15547.0,United Kingdom
575138,22294,1,11/8/2011 15:24,2.46,,United Kingdom
560078,21116,3,7/14/2011 16:12,4.95,16040.0,United Kingdom
537155,22865,1,12/5/2010 13:05,2.1,12748.0,United Kingdom
572087,21209,12,10/20/2011 14:30,0.39,12683.0,France
566912,20829,8,9/15/2011 14:05,2.1,14367.0,United Kingdom
566421,23109,18,9/12/2011 13:55,2.89,12924.0,United Kingdom
563540,22418,24,8/17/2011 12:04,0.85,12473.0,Germany
572758,23241,1,10/25/2011 18:39,4.13,,United Kingdom
542620,22171,2,1/31/2011 8:56,8.5,13089.0,United Kingdom
553063,22646,12,5/13/2011 11:38,1.45,13018.0,United Kingdom
563095,21703,12,8/12/2011 9:04,0.42,13158.0,United Kingdom
566451,23215,4,9/12/2011 16:14,2.08,18069.0,United Kingdom
571328,22573,12,10/17/2011 11:27,0.85,12473.0,Germany
555573,22031,12,6/5/2011 15:46,0.42,15349.0,United Kingdom
C570867,23293,-8,10/12/2011 16:17,0.83,12607.0,USA
579787,82482,2,11/30/2011 15:33,4.96,,United Kingdom
562049,22113,8,8/2/2011 11:33,3.75,14133.0,United Kingdom
648751,84251G,12,05/13/2011 15:22,0.19,18433,United Kingdom
560080,82583,96,7/14/2011 16:23,2.39,17450.0,United Kingdom
564976,22151,48,8/31/2011 15:49,0.42,17315.0,United Kingdom
545568,47574A,1,3/3/2011 16:22,2.46,,United Kingdom
552231,22433,2,5/6/2011 15:47,1.95,17364.0,United Kingdom
538177,22946,2,12/10/2010 9:51,34.0,,United Kingdom
557136,21441,12,6/17/2011 9:23,0.85,14911.0,EIRE
637404,22411,10,12/24/2010 11:26,1.95,16690,United Kingdom
574691,22766,2,11/6/2011 13:17,2.95,14174.0,United Kingdom
543255,21165,12,2/4/2011 15:43,1.69,13050.0,United Kingdom
580367,22113,2,12/2/2011 16:39,8.29,,United Kingdom
568869,23288,8,9/29/2011 12:01,0.85,12957.0,United Kingdom
559163,23286,2,7/6/2011 16:33,1.63,,United Kingdom
668391,21260,6,11/25/2011 10:08,3.25,19944,United Kingdom
542397,22934,48,1/27/2011 15:22,2.55,13328.0,United Kingdom
544453,22117,2,2/20/2011 13:06,2.95,17214.0,United Kingdom
549958,22353,5,4/13/2011 13:47,2.55,17589.0,United Kingdom
576071,23681,1,11/13/2011 16:03,1.65,18069.0,United Kingdom
580115,22701,3,12/1/2011 16:22,2.46,,United Kingdom
581023,20718,2,12/7/2011 10:35,3.29,,United Kingdom
560186,84527,1,7/15/2011 11:57,1.95,17266.0,United Kingdom
563745,22115,12,8/19/2011 9:38,0.79,15159.0,United Kingdom
541497,22640,15,1/18/2011 15:19,1.63,,United Kingdom
573069,22301,6,10/27/2011 13:58,2.55,18077.0,United Kingdom
538853,47566,3,12/14/2010 13:35,4.65,16805.0,United Kingdom
576339,84859C,1,11/14/2011 15:27,4.13,14096.0,United Kingdom
552036,22514,2,5/5/2011 19:16,2.1,12748.0,United Kingdom
538349,84685,2,12/10/2010 14:59,7.62,,United Kingdom
576617,22650,1,11/15/2011 16:57,3.29,,United Kingdom
541265,85025C,1,1/16/2011 16:23,1.65,17609.0,United Kingdom
672771,51014A,20,12/14/2011 17:07,0.83,18245,United Kingdom
546643,85150,6,3/15/2011 13:23,2.55,16214.0,United Kingdom
581219,23175,2,12/8/2011 9:28,7.46,,United Kingdom
575726,22745,2,11/10/2011 19:12,2.1,16791.0,United Kingdom
543354,22089,6,2/7/2011 13:50,2.95,13458.0,United Kingdom
571054,23517,1,10/13/2011 13:58,2.89,14234.0,United Kingdom
679099,23507,4,12/04/2011 15:59,0.42,19025,United Kingdom
540278,85123A,2,1/6/2011 12:31,2.95,15719.0,United Kingdom
541370,22111,3,1/17/2011 14:51,4.95,18179.0,United Kingdom
573286,22602,8,10/28/2011 14:38,0.85,,Switzerland
578290,22670,12,11/23/2011 14:07,1.25,13644.0,United Kingdom
549368,22753,1,4/8/2011 11:26,0.85,18036.0,United Kingdom
562771,84988,16,8/9/2011 12:00,1.45,13113.0,United Kingdom
537395,22867,2,12/6/2010 14:05,2.1,15356.0,United Kingdom
644682,22933,18,03/01/2011 11:20,2.95,18397,United Kingdom
578019,40005B,4,11/22/2011 13:11,0.85,17360.0,United Kingdom
538035,21115,1,12/9/2010 13:03,6.75,16065.0,United Kingdom
671546,22467,2,10/24/2011 15:44,2.55,17892,United Kingdom
580115,22697,1,12/1/2011 16:22,5.79,,United Kingdom
569230,46000M,4,10/2/2011 15:07,1.55,16533.0,United Kingdom
540418,82613D,7,1/7/2011 11:04,0.85,,United Kingdom
681638,23184,1,12/29/2011 16:30,10.79,3593,United Kingdom
537312,22556,12,12/6/2010 11:42,1.65,14189.0,United Kingdom
546884,22295,1,3/17/2011 18:08,3.29,,United Kingdom
680780,22891,1,03/02/2012 11:48,8.29,4844,United Kingdom
558570,23127,2,6/30/2011 14:38,4.95,17673.0,United Kingdom
567300,POST,3,9/19/2011 12:36,18.0,12724.0,France
572185,22382,1,10/21/2011 10:52,4.96,,United Kingdom
565207,22508,2,9/1/2011 16:46,3.75,16764.0,United Kingdom
571441,22094,1,10/17/2011 13:31,2.46,14096.0,United Kingdom
540639,22439,24,1/10/2011 12:28,0.65,13107.0,United Kingdom
541279,22196,12,1/17/2011 11:55,0.85,18223.0,United Kingdom
575896,79051A,48,11/11/2011 14:52,0.29,12480.0,Germany
553889,22430,4,5/19/2011 16:31,4.95,13405.0,United Kingdom
536539,82486,2,12/1/2010 14:03,7.95,15165.0,United Kingdom
557763,23298,6,6/22/2011 14:10,4.95,17669.0,United Kingdom
562717,22197,8,8/8/2011 15:42,1.63,,United Kingdom
560635,21533,3,7/20/2011 10:51,4.95,12521.0,Germany
574653,22079,10,11/6/2011 11:30,1.65,12619.0,Germany
564961,23060,6,8/31/2011 14:28,2.08,14525.0,United Kingdom
572185,21154,8,10/21/2011 10:52,3.29,,United Kingdom
551954,22799,1,5/5/2011 12:13,8.5,14515.0,United Kingdom
543021,22352,6,2/2/2011 14:36,2.55,15421.0,United Kingdom
556809,84997D,10,6/14/2011 16:48,4.15,17179.0,United Kingdom
576876,22865,4,11/16/2011 16:42,2.1,16804.0,United Kingdom
543770,20718,10,2/11/2011 15:39,1.25,13875.0,United Kingdom
577537,71459,12,11/20/2011 14:17,0.85,14860.0,United Kingdom
548309,22586,1,3/30/2011 12:02,0.85,16657.0,United Kingdom
577084,22625,2,11/17/2011 15:41,8.5,16626.0,United Kingdom
572662,22941,3,10/25/2011 12:54,8.5,15443.0,United Kingdom
581219,35095B,1,12/8/2011 9:28,0.83,,United Kingdom
568411,21523,1,9/27/2011 10:52,16.63,,United Kingdom
573305,22513,2,10/28/2011 16:13,3.75,17837.0,United Kingdom
566005,22412,4,9/8/2011 11:56,2.1,16426.0,United Kingdom
543172,22197,6,2/4/2011 9:11,1.63,,United Kingdom
565320,23204,32,9/2/2011 13:10,0.85,16745.0,United Kingdom
575930,23225,5,11/11/2011 17:58,1.63,,United Kingdom
559796,22041,3,7/12/2011 13:30,4.96,,United Kingdom
568202,22748,6,9/25/2011 15:01,2.1,15366.0,United Kingdom
560567,22081,2,7/19/2011 13:57,3.29,,United Kingdom
539434,84375,1,12/17/2010 14:41,4.21,,United Kingdom
577469,22863,1,11/20/2011 11:25,2.95,15009.0,United Kingdom
572881,85036C,90,10/26/2011 13:36,0.5,12748.0,United Kingdom
550331,85202,1,4/17/2011 13:43,0.42,15555.0,United Kingdom
C543635,84949,-6,2/10/2011 16:33,1.65,13894.0,United Kingdom
578026,23205,10,11/22/2011 13:29,0.85,17659.0,United Kingdom
537219,84029G,2,12/5/2010 15:47,3.75,14081.0,United Kingdom
556924,47503A,1,6/15/2011 14:14,1.25,,France
563404,22630,12,8/16/2011 11:04,1.95,16303.0,United Kingdom
564198,21787,2,8/23/2011 17:18,0.85,14418.0,United Kingdom
564818,22356,5,8/30/2011 12:10,1.63,,United Kingdom
573336,20983,4,10/30/2011 11:37,0.85,17372.0,United Kingdom
537222,22375,1,12/5/2010 16:00,4.25,14404.0,United Kingdom
559034,23256,4,7/5/2011 14:56,4.15,13109.0,United Kingdom
571508,20996,2,10/17/2011 15:27,0.83,,United Kingdom
541842,21891,3,1/23/2011 12:07,1.25,16085.0,United Kingdom
648218,21931,3,04/07/2011 13:43,4.13,3604,United Kingdom
544769,22333,48,2/23/2011 11:11,1.45,16422.0,United Kingdom
572986,22024,12,10/27/2011 10:51,0.42,12681.0,France
538658,84360,2,12/13/2010 15:34,5.95,17969.0,United Kingdom
578844,22616,4,11/25/2011 16:14,0.83,,United Kingdom
561894,23146,1,7/31/2011 15:00,3.29,14456.0,United Kingdom
556813,22120,1,6/14/2011 17:28,19.96,,United Kingdom
580469,22072,4,12/4/2011 12:32,1.25,14583.0,United Kingdom
550953,22797,1,4/21/2011 16:17,33.29,,United Kingdom
568701,20719,10,9/28/2011 15:07,0.85,13924.0,United Kingdom
575583,22531,1,11/10/2011 11:55,0.42,14456.0,United Kingdom
539722,22654,3,12/21/2010 13:45,5.95,14911.0,EIRE
557805,23165,12,6/23/2011 10:27,1.65,17651.0,United Kingdom
572329,22979,12,10/24/2011 10:13,1.45,14019.0,United Kingdom
577300,47504H,9,11/18/2011 12:53,0.79,16924.0,United Kingdom
644233,20728,10,05/11/2011 12:59,1.65,20961,United Kingdom
578344,23355,1,11/24/2011 9:21,10.79,,United Kingdom
661818,21912,4,09/29/2011 09:48,3.75,17455,United Kingdom
659426,23172,48,09/20/2011 16:54,1.45,22962,United Kingdom
562688,20728,4,8/8/2011 13:53,1.65,13869.0,United Kingdom
580048,21429,1,12/1/2011 12:53,1.95,12748.0,United Kingdom
571716,22114,3,10/18/2011 17:05,8.29,,United Kingdom
537666,21849,1,12/7/2010 18:36,4.21,,United Kingdom
538071,22312,1,12/9/2010 14:09,5.91,,United Kingdom
545568,84991,1,3/3/2011 16:22,1.25,,United Kingdom
565129,22896,2,9/1/2011 12:41,2.55,15719.0,United Kingdom
580610,22891,1,12/5/2011 11:48,8.29,,United Kingdom
569246,84915,1,10/3/2011 9:57,4.13,14096.0,United Kingdom
566164,22041,6,9/9/2011 11:56,5.79,,United Kingdom
554285,22501,1,5/23/2011 14:15,20.79,,United Kingdom
547485,21976,3,3/23/2011 11:16,0.55,17019.0,United Kingdom
558707,23208,1,7/1/2011 12:58,1.65,12748.0,United Kingdom
541870,20676,5,1/24/2011 9:39,2.46,,United Kingdom
667907,21809,3,11/21/2011 14:40,2.46,17700,United Kingdom
540458,22654,3,1/7/2011 12:28,5.95,12501.0,Germany
577358,84988,1,11/18/2011 15:59,2.92,,United Kingdom
541104,22258,1,1/13/2011 14:29,0.83,,United Kingdom
545719,47566,4,3/7/2011 10:28,4.95,13344.0,United Kingdom
540821,84968A,4,1/11/2011 13:16,8.47,,United Kingdom
545916,21217,2,3/8/2011 11:46,9.95,12528.0,Germany
551997,21215,1,5/5/2011 15:47,1.25,,United Kingdom
538566,22497,1,12/13/2010 11:21,8.47,,United Kingdom
545430,82494L,12,3/2/2011 14:50,2.95,15636.0,United Kingdom
550179,22109,4,4/14/2011 17:29,3.75,15220.0,United Kingdom
561036,21905,2,7/24/2011 11:54,0.79,13137.0,United Kingdom
563844,22469,12,8/19/2011 14:04,1.65,17725.0,United Kingdom
543985,85049G,1,2/15/2011 9:44,2.46,,United Kingdom
541827,21442,17,1/21/2011 17:05,1.63,,United Kingdom
660584,21916,1,09/05/2011 12:25,0.42,18610,United Kingdom
566495,21481,2,9/13/2011 11:14,3.75,15529.0,United Kingdom
580964,23114,2,12/6/2011 14:50,4.95,15822.0,United Kingdom
675466,21509,72,12/17/2011 11:17,0.36,19166,United Kingdom
565331,22791,12,9/2/2011 13:59,1.25,16674.0,United Kingdom
562339,20724,4,8/4/2011 11:59,0.85,13571.0,United Kingdom
550438,22844,2,4/18/2011 12:16,8.5,15265.0,United Kingdom
541104,21929,1,1/13/2011 14:29,4.13,,United Kingdom
555106,22539,24,5/31/2011 14:14,0.42,12790.0,Netherlands
637258,22536,1,02/10/2011 10:08,0.85,4258,United Kingdom
641347,84078A,1,02/08/2011 14:29,74.96,2829,United Kingdom
540188,85014B,1,1/5/2011 13:57,5.95,16771.0,United Kingdom
C559347,22771,-12,7/7/2011 17:22,1.25,18072.0,United Kingdom
557316,22906,2,6/19/2011 16:04,1.65,17299.0,United Kingdom
566581,22155,20,9/13/2011 13:47,0.42,16081.0,United Kingdom
570187,23307,3,10/7/2011 15:09,1.25,,United Kingdom
572741,22755,12,10/25/2011 15:47,0.85,14341.0,United Kingdom
541830,84050,2,1/21/2011 17:09,4.13,,United Kingdom
546554,35915B,6,3/15/2011 9:13,1.65,16037.0,United Kingdom
562934,22698,2,8/10/2011 16:56,5.79,,United Kingdom
570671,22077,12,10/11/2011 14:51,1.95,16171.0,United Kingdom
567304,23408,3,9/19/2011 13:27,2.08,14704.0,United Kingdom
560918,23296,12,7/21/2011 18:27,1.25,14849.0,United Kingdom
566424,22333,8,9/12/2011 14:15,1.65,13309.0,United Kingdom
569846,22865,12,10/6/2011 13:42,2.1,13422.0,United Kingdom
563585,22501,2,8/17/2011 17:01,9.95,17070.0,United Kingdom
549967,21166,48,4/13/2011 14:21,1.85,17873.0,United Kingdom
556927,20685,50,6/15/2011 14:47,6.75,14156.0,EIRE
579427,22467,4,11/29/2011 13:04,2.55,16479.0,United Kingdom
543518,85232A,24,2/9/2011 11:21,4.25,12753.0,Japan
542542,22728,4,1/28/2011 14:37,3.75,12431.0,Australia
551136,22430,4,4/26/2011 13:05,4.95,15301.0,United Kingdom
579399,23245,3,11/29/2011 12:09,4.95,13137.0,United Kingdom
550911,23008,1,4/21/2011 13:11,16.95,12354.0,Spain
659122,22730,4,09/08/2011 12:03,3.75,18022,United Kingdom
566074,22138,6,9/9/2011 8:48,4.95,12535.0,France
543354,84520B,12,2/7/2011 13:50,0.85,13458.0,United Kingdom
542344,22983,2,1/27/2011 11:30,0.83,,United Kingdom
548808,22622,2,4/4/2011 12:55,11.95,17774.0,United Kingdom
539000,22622,4,12/15/2010 12:27,9.95,13092.0,United Kingdom
565967,22556,12,9/8/2011 11:27,1.65,14646.0,Netherlands
645766,48173C,10,04/13/2011 15:17,6.75,17656,United Kingdom
641926,84050,2,02/23/2011 17:09,4.13,1933,United Kingdom
578285,23515,1,11/23/2011 13:57,2.08,12748.0,United Kingdom
548714,22429,1,4/3/2011 15:07,4.25,17337.0,United Kingdom
564974,22840,1,8/31/2011 15:32,15.79,,United Kingdom
560212,22743,1,7/15/2011 14:58,2.95,14722.0,United Kingdom
558341,23252,4,6/28/2011 14:20,3.75,14741.0,United Kingdom
678151,23333,3,01/30/2012 16:06,1.25,18939,United Kingdom
C563606,22846,-1,8/18/2011 6:30,16.95,13925.0,United Kingdom
556128,23167,12,6/9/2011 10:31,0.83,13038.0,United Kingdom
541134,22386,10,1/14/2011 10:20,1.95,15615.0,United Kingdom
560048,21985,24,7/14/2011 15:02,0.29,13515.0,United Kingdom
537955,79066K,2,12/9/2010 11:28,0.85,16782.0,United Kingdom
575787,23291,8,11/11/2011 11:18,1.25,12518.0,Germany
573138,23543,1,10/27/2011 17:22,8.25,15023.0,United Kingdom
544766,22041,1,2/23/2011 11:09,4.96,,United Kingdom
541592,85129D,2,1/19/2011 15:08,2.46,,United Kingdom
581439,23184,1,12/8/2011 16:30,10.79,,United Kingdom
577601,20978,16,11/21/2011 8:31,1.25,17675.0,United Kingdom
674953,22766,2,11/25/2011 13:17,2.95,15649,United Kingdom
549250,85030,2,4/7/2011 12:10,1.95,14446.0,United Kingdom
659138,22355,6,09/15/2011 16:18,1.63,4393,United Kingdom
536830,84077,2880,12/2/2010 17:38,0.18,16754.0,United Kingdom
560366,85231B,12,7/18/2011 12:19,0.85,16859.0,United Kingdom
641638,22438,4,03/09/2011 15:08,1.63,1943,United Kingdom
578074,23333,3,11/22/2011 16:06,1.25,17590.0,United Kingdom
575303,23192,1,11/9/2011 12:34,1.65,12893.0,United Kingdom
548863,48116,10,4/4/2011 13:57,6.75,15311.0,United Kingdom
551142,23148,4,4/26/2011 13:22,0.83,17613.0,United Kingdom
543466,22481,12,2/8/2011 14:34,1.25,16713.0,United Kingdom
568591,21930,10,9/28/2011 10:39,2.08,17088.0,United Kingdom
536778,15036,12,12/2/2010 15:03,0.75,13138.0,United Kingdom
579777,21877,1,11/30/2011 15:13,3.29,,United Kingdom
581217,23552,6,12/8/2011 9:20,4.13,,United Kingdom
541120,22377,20,1/14/2011 9:13,0.85,12490.0,France
551584,22925,2,5/3/2011 11:22,5.95,15620.0,United Kingdom
577768,22543,1,11/21/2011 15:18,0.83,,United Kingdom
570818,23266,4,10/12/2011 12:47,1.25,17841.0,United Kingdom
559527,85152,6,7/10/2011 11:24,2.1,17787.0,United Kingdom
572472,22553,12,10/24/2011 13:34,1.65,14139.0,United Kingdom
580364,23569,4,12/2/2011 16:34,4.95,13309.0,United Kingdom
561642,23301,3,7/28/2011 15:04,1.65,17965.0,United Kingdom
540468,22585,2,1/7/2011 13:55,2.51,,United Kingdom
560491,23297,2,7/19/2011 10:51,1.65,12415.0,Australia
565766,21908,1,9/6/2011 14:23,2.1,17841.0,United Kingdom
551718,84877A,1,5/3/2011 16:06,3.29,,United Kingdom
578995,23507,4,11/27/2011 15:59,0.42,15861.0,United Kingdom
559032,23241,6,7/5/2011 14:53,2.08,17511.0,United Kingdom
669506,84988,1,11/09/2011 09:57,2.92,16208,United Kingdom
568183,22579,24,9/25/2011 13:47,0.29,13991.0,United Kingdom
568346,22665,1,9/26/2011 15:28,5.79,14096.0,United Kingdom
560491,23236,1,7/19/2011 10:51,2.89,12415.0,Australia
544207,21559,1,2/17/2011 10:34,4.96,,United Kingdom
579167,22914,2,11/28/2011 14:06,4.95,16800.0,United Kingdom
560090,22558,1,7/14/2011 16:46,3.29,,United Kingdom
542891,21497,25,2/1/2011 13:26,0.42,16705.0,United Kingdom
545027,21244,7,2/25/2011 14:59,3.29,,United Kingdom
568215,23176,8,9/26/2011 8:38,2.25,13390.0,United Kingdom
569936,22180,2,10/6/2011 17:52,9.95,17490.0,United Kingdom
541123,22399,12,1/14/2011 9:52,1.25,13385.0,United Kingdom
566164,20728,14,9/9/2011 11:56,4.96,,United Kingdom
576246,22086,4,11/14/2011 13:42,2.95,17566.0,United Kingdom
578548,35471D,12,11/24/2011 15:02,0.39,17345.0,United Kingdom
559338,23176,2,7/7/2011 16:30,4.58,,United Kingdom
543197,22929,1,2/4/2011 12:36,65.0,12842.0,United Kingdom
569568,22619,4,10/5/2011 9:57,3.75,12700.0,France
565776,21929,3,9/6/2011 14:38,2.08,15311.0,United Kingdom
571706,20712,10,10/18/2011 15:26,2.08,15144.0,United Kingdom
561320,20984,1,7/26/2011 12:57,0.29,16942.0,United Kingdom
542059,22030,12,1/25/2011 11:59,0.42,16757.0,United Kingdom
543909,22858,6,2/14/2011 12:32,1.45,,United Kingdom
546520,21058,12,3/14/2011 12:28,0.85,14911.0,EIRE
547251,21169,12,3/22/2011 9:43,1.69,17865.0,United Kingdom
550180,15056BL,2,4/14/2011 17:33,5.95,14163.0,United Kingdom
547083,21071,2,3/20/2011 15:21,1.25,15452.0,United Kingdom
544339,22699,6,2/18/2011 9:04,2.95,15228.0,United Kingdom
559506,20669,1,7/8/2011 15:17,0.83,,United Kingdom
538678,22741,1,12/13/2010 16:46,0.85,,United Kingdom
554157,20728,2,5/23/2011 11:33,1.65,18283.0,United Kingdom
671490,22317,6,12/14/2011 13:54,2.95,12497,Germany
543801,22358,1,2/13/2011 11:52,2.95,17811.0,United Kingdom
577768,22633,2,11/21/2011 15:18,4.13,,United Kingdom
578065,72760B,1,11/22/2011 15:41,20.79,,United Kingdom
564315,23346,4,8/24/2011 13:07,1.25,14730.0,United Kingdom
658934,22741,1,08/30/2011 10:17,1.63,1978,United Kingdom
544323,22616,1,2/17/2011 15:51,0.83,,United Kingdom
544586,22173,2,2/21/2011 15:04,2.95,17338.0,United Kingdom
576920,22720,3,11/17/2011 10:49,4.95,13871.0,United Kingdom
567288,21154,2,9/19/2011 11:49,1.25,16906.0,United Kingdom
539631,21918,1,12/20/2010 15:03,0.85,,United Kingdom
578303,47566,8,11/23/2011 15:39,4.95,14733.0,United Kingdom
642835,22728,4,04/01/2011 14:37,3.75,16572,Australia
561209,82613C,1,7/25/2011 16:57,2.46,,United Kingdom
575610,23206,10,11/10/2011 12:45,1.65,16628.0,United Kingdom
575040,22730,4,11/8/2011 11:58,3.75,13381.0,United Kingdom
548740,20914,6,4/4/2011 11:34,2.95,13319.0,United Kingdom
557762,20728,10,6/22/2011 14:01,1.65,15810.0,United Kingdom
574709,22158,8,11/6/2011 14:14,2.95,17768.0,United Kingdom
560723,22694,2,7/20/2011 13:53,2.1,16464.0,United Kingdom
569469,22041,3,10/4/2011 12:22,2.55,16360.0,United Kingdom
C572059,21242,-12,10/20/2011 12:45,1.69,17346.0,United Kingdom
638449,22731,9,01/14/2011 19:23,1.25,15721,United Kingdom
566971,23199,10,9/16/2011 9:03,2.08,12963.0,United Kingdom
543097,90208,1,2/3/2011 11:41,2.48,,United Kingdom
547337,85025C,-230,3/22/2011 11:47,0.0,,United Kingdom
566589,22749,4,9/13/2011 14:50,3.75,14753.0,United Kingdom
552643,20886,3,5/10/2011 13:24,1.95,16791.0,United Kingdom
574678,22796,4,11/6/2011 12:36,9.95,13365.0,United Kingdom
550636,37476,1,4/19/2011 15:37,8.29,,United Kingdom
572063,21850,1,10/20/2011 12:57,4.95,14606.0,United Kingdom
573373,21892,2,10/30/2011 13:37,1.25,14684.0,United Kingdom
575983,21035,1,11/13/2011 13:45,3.25,13379.0,United Kingdom
550290,22570,4,4/15/2011 14:45,3.75,15246.0,United Kingdom
668900,22697,6,10/03/2011 09:53,2.95,20029,United Kingdom
